"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal"
26377,"Pipistrellus kuhlii","female",29.6067214419055,34.9565961177137,34.9333333333333,34.9333333333333,21,21,33.8
26377,"Pipistrellus kuhlii","male",29.6067214419055,34.9565961177137,33.2333333333333,33.2333333333333,3,3,33.8
30119,"Pipistrellus kuhlii","female",30.8565564260124,34.7631243084769,34.9633333333333,34.9633333333333,3,3,33.8
30119,"Pipistrellus kuhlii","male",30.8565564260124,34.7631243084769,34.2,34.2,2,2,33.8
30120,"Pipistrellus kuhlii","female",30.8130557216645,34.8456620855548,35.4,35.4,2,2,33.8
30120,"Pipistrellus kuhlii","male",30.8130557216645,34.8456620855548,34.2875,34.2875,8,8,33.8
30492,"Pipistrellus kuhlii","female",30.9506654755946,34.8012780020105,34.6504761904762,34.6504761904762,21,21,33.8
30492,"Pipistrellus kuhlii","male",30.9506654755946,34.8012780020105,34.082,34.082,25,25,33.8
30493,"Pipistrellus kuhlii","female",30.9071228732284,34.8839093449075,34.3558490566038,34.3558490566038,53,53,33.8
30493,"Pipistrellus kuhlii","male",30.9071228732284,34.8839093449075,33.787619047619,33.787619047619,21,21,33.8
30859,"Pipistrellus kuhlii","female",31.0011159072045,34.9222670092527,35.0941666666667,35.0941666666667,24,24,33.8
30859,"Pipistrellus kuhlii","male",31.0011159072045,34.9222670092527,34.3345454545455,34.3345454545455,11,11,33.8
30860,"Pipistrellus kuhlii","female",30.9573860017157,35.0048811918509,34.6,34.6,1,1,33.8
30860,"Pipistrellus kuhlii","male",30.9573860017157,35.0048811918509,33.275,33.275,2,2,33.8
30861,"Pipistrellus kuhlii","female",30.9135110266085,35.0873844054204,32.25,32.25,2,2,33.8
30864,"Pipistrellus kuhlii","male",30.7810173818325,35.3342270626495,33.3,33.3,1,1,33.8
31572,"Pipistrellus kuhlii","female",31.012750979718,35.3298478117139,34.9,34.9,1,1,33.8
31573,"Pipistrellus kuhlii","female",30.9683567295813,35.412200695772,32.2,32.2,1,1,33.8
32545,"Pipistrellus kuhlii","female",31.6442859160718,34.7822684213273,33.65,33.65,1,1,33.8
32545,"Pipistrellus kuhlii","male",31.6442859160718,34.7822684213273,33.425,33.425,2,2,33.8
32546,"Pipistrellus kuhlii","female",31.6009259279116,34.8658022996199,33.6666666666667,33.6666666666667,6,6,33.8
34641,"Myotis bechsteinii","female",36.1493924960907,-5.56436350559183,43.1475,43.1475,4,4,43
34641,"Myotis bechsteinii","male",36.1493924960907,-5.56436350559183,41.67,41.67,1,1,43
34641,"Pipistrellus kuhlii","female",36.1493924960907,-5.56436350559183,33.37,33.37,1,1,33.8
34789,"Pipistrellus kuhlii","female",32.47898274676,34.92569656422,33.575,33.575,10,10,33.8
34789,"Pipistrellus kuhlii","male",32.47898274676,34.92569656422,32.9,32.9,14,14,33.8
34948,"Eptesicus isabellinus","female",36.2737843594145,-5.49534637899316,52.145,52.145,2,2,49
34948,"Myotis bechsteinii","female",36.2737843594145,-5.49534637899316,42.82,42.82,4,4,43
34948,"Myotis bechsteinii","male",36.2737843594145,-5.49534637899316,42.2,42.2,1,1,43
34948,"Pipistrellus kuhlii","female",36.2737843594145,-5.49534637899316,32.98,32.98,1,1,33.8
34949,"Pipistrellus kuhlii","female",36.3006850034143,-5.39960770990473,32.9,32.9,1,1,33.8
34949,"Pipistrellus kuhlii","male",36.3006850034143,-5.39960770990473,33.7,33.7,1,1,33.8
35270,"Pipistrellus kuhlii","female",36.3439871785081,-5.61771838056336,32.8183333333333,32.8183333333333,6,6,33.8
35270,"Pipistrellus kuhlii","male",36.3439871785081,-5.61771838056336,32.6,32.6,1,1,33.8
35275,"Hypsugo savii","female",36.4778237304272,-5.13784408983029,35.3,35.3,1,1,34.5
35275,"Myotis escalerai","female",36.4778237304272,-5.13784408983029,38.8333333333333,38.8333333333333,3,3,39.5
35275,"Pipistrellus kuhlii","female",36.4778237304272,-5.13784408983029,32.9,32.9,1,1,33.8
35363,"Hypsugo savii","male",38.2210872596818,15.5424368374211,31.7,31.7,1,1,34.5
35363,"Myotis crypticus","female",38.2210872596818,15.5424368374211,38.9,38.9,2,2,39.3
35363,"Myotis nattereri","female",38.2210872596818,15.5424368374211,38.9,38.9,2,2,39
35363,"Pipistrellus kuhlii","male",38.2210872596818,15.5424368374211,37.4,37.4,1,1,33.8
35365,"Hypsugo savii","male",38.2013903159522,15.7469095526103,31.8,31.8,1,1,34.5
35365,"Pipistrellus kuhlii","female",38.2013903159522,15.7469095526103,34.7,34.7,1,1,33.8
35607,"Pipistrellus kuhlii","female",36.4139015101421,-5.74038541751461,34.1,34.1,1,1,33.8
35609,"Myotis bechsteinii","female",36.468333715825,-5.54858427562307,42.6,42.6,1,1,43
35609,"Myotis escalerai","male",36.468333715825,-5.54858427562307,41.7,41.7,1,1,39.5
35609,"Pipistrellus kuhlii","female",36.468333715825,-5.54858427562307,34.5,34.5,2,2,33.8
35609,"Pipistrellus kuhlii","male",36.468333715825,-5.54858427562307,32.9,32.9,6,6,33.8
35612,"Eptesicus isabellinus","male",36.548735041517,-5.26021242758252,49.775,49.775,2,2,49
35612,"Hypsugo savii","female",36.548735041517,-5.26021242758252,34.3,34.3,1,1,34.5
35612,"Pipistrellus kuhlii","female",36.548735041517,-5.26021242758252,33.49,33.49,7,7,33.8
35612,"Pipistrellus kuhlii","male",36.548735041517,-5.26021242758252,31.75,31.75,4,4,33.8
35613,"Eptesicus isabellinus","male",36.5752022981741,-5.16391144419755,49.66,49.66,5,5,49
35613,"Hypsugo savii","female",36.5752022981741,-5.16391144419755,34.84,34.84,5,5,34.5
35613,"Hypsugo savii","male",36.5752022981741,-5.16391144419755,34.3,34.3,2,2,34.5
35613,"Pipistrellus kuhlii","female",36.5752022981741,-5.16391144419755,34.15,34.15,2,2,33.8
35613,"Pipistrellus kuhlii","male",36.5752022981741,-5.16391144419755,33.35,33.35,2,2,33.8
35615,"Eptesicus isabellinus","female",36.6276360563033,-4.97104646265685,50.625,50.625,2,2,49
35615,"Eptesicus isabellinus","male",36.6276360563033,-4.97104646265685,51.05,51.05,2,2,49
35615,"Hypsugo savii","female",36.6276360563033,-4.97104646265685,34.9675,34.9675,4,4,34.5
35615,"Hypsugo savii","male",36.6276360563033,-4.97104646265685,33.565,33.565,2,2,34.5
35615,"Myotis emarginatus","male",36.6276360563033,-4.97104646265685,39.8,39.8,1,1,40.4
35615,"Myotis escalerai","female",36.6276360563033,-4.97104646265685,40.1133333333333,40.1133333333333,3,3,39.5
35615,"Pipistrellus kuhlii","female",36.6276360563033,-4.97104646265685,34.26,34.26,3,3,33.8
35615,"Pipistrellus kuhlii","male",36.6276360563033,-4.97104646265685,31.32,31.32,1,1,33.8
35621,"Eptesicus isabellinus","female",36.780919698518,-4.39037843004431,50.7,50.7,2,2,49
35621,"Eptesicus isabellinus","male",36.780919698518,-4.39037843004431,51,51,3,3,49
35621,"Pipistrellus kuhlii","female",36.780919698518,-4.39037843004431,32.1,32.1,1,1,33.8
35621,"Pipistrellus kuhlii","male",36.780919698518,-4.39037843004431,33.45,33.45,2,2,33.8
35625,"Eptesicus isabellinus","male",36.8797480597747,-4.0015740244818,51.7,51.7,5,5,49
35625,"Hypsugo savii","female",36.8797480597747,-4.0015740244818,34.175,34.175,4,4,34.5
35625,"Hypsugo savii","male",36.8797480597747,-4.0015740244818,34.1,34.1,1,1,34.5
35625,"Myotis escalerai","female",36.8797480597747,-4.0015740244818,40.2,40.2,3,3,39.5
35625,"Myotis escalerai","male",36.8797480597747,-4.0015740244818,39.3,39.3,2,2,39.5
35625,"Pipistrellus kuhlii","female",36.8797480597747,-4.0015740244818,34.225,34.225,4,4,33.8
35625,"Pipistrellus kuhlii","male",36.8797480597747,-4.0015740244818,33.55,33.55,2,2,33.8
