"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal","Tmax","Summer_precipitation","Tmin"
26377,"Pipistrellus kuhlii","female",29.6067214419055,34.9565961177137,34.9333333333333,34.9333333333333,21,21,33.8,36.2681884765625,0.166781455278397,6.58774414062503
26377,"Pipistrellus kuhlii","male",29.6067214419055,34.9565961177137,33.2333333333333,33.2333333333333,3,3,33.8,36.2681884765625,0.166781455278397,6.58774414062503
30119,"Pipistrellus kuhlii","female",30.8565564260124,34.7631243084769,34.9633333333333,34.9633333333333,3,3,33.8,32.3597900390625,13.338921546936,6.064453125
30119,"Pipistrellus kuhlii","male",30.8565564260124,34.7631243084769,34.2,34.2,2,2,33.8,32.3597900390625,13.338921546936,6.064453125
30120,"Pipistrellus kuhlii","female",30.8130557216645,34.8456620855548,35.4,35.4,2,2,33.8,33.1407470703125,8.46731567382812,6.33251953125
30120,"Pipistrellus kuhlii","male",30.8130557216645,34.8456620855548,34.2875,34.2875,8,8,33.8,33.1407470703125,8.46731567382812,6.33251953125
30492,"Pipistrellus kuhlii","female",30.9506654755946,34.8012780020105,34.6504761904762,34.6504761904762,21,21,33.8,32.6701171875,12.8072395324707,5.74262695312501
30492,"Pipistrellus kuhlii","male",30.9506654755946,34.8012780020105,34.082,34.082,25,25,33.8,32.6701171875,12.8072395324707,5.74262695312501
30493,"Pipistrellus kuhlii","female",30.9071228732284,34.8839093449075,34.3558490566038,34.3558490566038,53,53,33.8,32.6701171875,12.8072395324707,5.74262695312501
30493,"Pipistrellus kuhlii","male",30.9071228732284,34.8839093449075,33.787619047619,33.787619047619,21,21,33.8,32.6701171875,12.8072395324707,5.74262695312501
30859,"Pipistrellus kuhlii","female",31.0011159072045,34.9222670092527,35.0941666666667,35.0941666666667,24,24,33.8,33.12958984375,10.429181098938,5.79753417968755
30859,"Pipistrellus kuhlii","male",31.0011159072045,34.9222670092527,34.3345454545455,34.3345454545455,11,11,33.8,33.12958984375,10.429181098938,5.79753417968755
30860,"Pipistrellus kuhlii","female",30.9573860017157,35.0048811918509,34.6,34.6,1,1,33.8,34.3523681640625,4.60585784912109,6.26481933593755
30860,"Pipistrellus kuhlii","male",30.9573860017157,35.0048811918509,33.275,33.275,2,2,33.8,34.3523681640625,4.60585784912109,6.26481933593755
30861,"Pipistrellus kuhlii","female",30.9135110266085,35.0873844054204,32.25,32.25,2,2,33.8,34.3523681640625,4.60585784912109,6.26481933593755
30864,"Pipistrellus kuhlii","male",30.7810173818325,35.3342270626495,33.3,33.3,1,1,33.8,37.1966796875,3,8.91022949218751
31572,"Pipistrellus kuhlii","female",31.012750979718,35.3298478117139,34.9,34.9,1,1,33.8,38.1447265625,3.47880220413208,10.0443115234375
31573,"Pipistrellus kuhlii","female",30.9683567295813,35.412200695772,32.2,32.2,1,1,33.8,37.8722412109375,3.50133275985718,10.4203125
