"Bat_species","Sex","fal","bm","r_Tmax_FAL","r_Tmin_FAL","r_SP_FAL","r_Tmax_BM","r_Tmin_BM","r_SP_BM","n","yi_Tmax_FAL","yi_Tmax_BM","yi_Tmin_FAL","yi_Tmin_BM","yi_SP_FAL","yi_SP_BM","vi","SPID"
"Barbastella barbastellus","female",39,9.5,0.078,-0.222,0.203,-0.051,-0.179,0.121,83,0.0781587639561743,-0.0510442861335116,-0.225758807776575,-0.180949395542471,0.205859518592232,0.121595762693491,0.0125,"SP1"
"Barbastella barbastellus","male",39,9.5,0.019,-0.321,0.188,-0.251,-0.279,0.258,87,0.0190022868286809,-0.256479763474846,-0.332761588481815,-0.286597332146947,0.190263079880456,0.263964597046503,0.0119047619047619,"SP1"
"Eptesicus isabellinus","female",49,18.5,-0.416,0.083,0.276,-0.186,0.012,0.111,14,-0.442845145712719,-0.188190606777565,0.0831913873722629,0.0120005760497715,0.283347035759509,0.111459277062863,0.0909090909090909,"SP2"
"Eptesicus isabellinus","male",49,18.5,-0.553,0.104,0.041,-0.431,-0.336,0.466,35,-0.622692614267559,-0.46112417271506,0.104377406931055,-0.349576602310079,0.0410229968657653,0.504948521743201,0.03125,"SP2"
"Eptesicus nilssonii","female",40.5,11,0.301,0.223,-0.212,-0.175,0.21,-0.174,9,0.310618868139347,-0.176820020121789,0.226810892659762,0.21317134656486,-0.21526453838569,-0.175788613433532,0.166666666666667,"SP3"
"Eptesicus nilssonii","male",40.5,11,0.346,0.636,-0.533,0.475,0.241,-0.112,9,0.360892579373737,0.516507503091148,0.751427824762976,0.245835503904489,-0.594326310601458,-0.112471865909179,0.166666666666667,"SP3"
"Eptesicus serotinus","female",53,21.5,0.08,-0.407,-0.115,-0.05,-0.085,0.028,32,0.0801713250375897,-0.0500417292784913,-0.432010329058332,-0.0852056003495193,-0.115511019443145,0.0280073207773357,0.0344827586206897,"SP4"
"Eptesicus serotinus","male",53,21.5,0.094,0.067,-0.045,-0.049,-0.135,0.034,63,0.0942783384694736,-0.0490392729254534,0.0671005252272048,-0.135829211491812,-0.0450304119590906,0.0340131104279282,0.0166666666666667,"SP4"
"Hypsugo savii","female",34.5,7,-0.06,-0.296,0.007,-0.243,-0.485,0.26,33,-0.0600721559210316,-0.247959919036631,-0.305129760377089,-0.529501575286532,0.00700011433669485,0.266108406873654,0.0333333333333333,"SP5"
"Hypsugo savii","male",34.5,7,0.046,0.016,-0.097,-0.484,-0.455,0.409,66,0.0460324865882908,-0.528194829122882,0.0160013655430869,-0.490987692471174,-0.0973059534291224,0.434409747246291,0.0158730158730159,"SP5"
"Myotis alcathoe","female",32,4.5,-0.289,-0.114,0.053,-0.163,0.181,0.148,15,-0.297474786567973,-0.164467041014595,-0.114497734941074,0.183016366172146,0.0530497094739486,0.149095025025098,0.0833333333333333,"SP6"
"Myotis alcathoe","male",32,4.5,-0.642,-0.642,0.357,-0.041,0.014,-0.101,19,-0.761568651805837,-0.0410229968657653,-0.761568651805837,0.0140009147742465,0.373443467798625,-0.10134555112553,0.0625,"SP6"
"Myotis bechsteinii","female",43,10.5,-0.384,-0.425,0.572,-0.162,-0.502,0.355,45,-0.404743086322048,-0.163439918464887,-0.4537785259527,-0.551976377649714,0.650490388703677,0.371153208259014,0.0238095238095238,"SP7"
"Myotis bechsteinii","male",43,10.5,-0.259,-0.69,0.591,-0.343,-0.29,0.277,60,-0.26503620437413,-0.357488589019313,-0.847955755218963,-0.298566263660178,0.679201436147493,0.284429816936887,0.0175438596491228,"SP7"
"Myotis crypticus","female",39.3,8.5,0.004,-0.187,0.226,0.022,-0.085,0.084,22,0.00400002133353814,0.0220035503644162,-0.189226642530929,-0.0852056003495193,0.229970121453215,0.0841984086627306,0.0526315789473684,"SP8"
