"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","female",39,0.047,-0.232,0.181,96,0.183016366172146,0.010752688172043,"SP1","S. Precipitation"
"Eptesicus isabellinus","female",49,-0.256,-0.137,0.213,21,0.216311830263323,0.0555555555555556,"SP2","S. Precipitation"
"Eptesicus nilssonii","female",40.5,0.306,0.274,-0.223,9,-0.226810892659762,0.166666666666667,"SP3","S. Precipitation"
"Eptesicus serotinus","female",53,-0.147,-0.103,0.104,56,0.104377406931055,0.0188679245283019,"SP4","S. Precipitation"
"Hypsugo savii","female",34.5,0.009,-0.135,-0.012,61,-0.0120005760497715,0.0172413793103448,"SP5","S. Precipitation"
"Myotis alcathoe","female",32,-0.317,-0.067,0.103,17,0.103366578597353,0.0714285714285714,"SP6","S. Precipitation"
"Myotis bechsteinii","female",43,-0.159,-0.436,0.513,72,0.566792795352883,0.0144927536231884,"SP7","S. Precipitation"
"Myotis crypticus","female",39.3,0.012,-0.139,0.204,27,0.206902720012192,0.0416666666666667,"SP8","S. Precipitation"
"Myotis emarginatus","female",40.4,-0.041,0.037,-0.081,94,-0.0811778476417606,0.010989010989011,"SP9","S. Precipitation"
"Myotis escalerai","female",39.5,0.119,-0.035,-0.019,61,-0.0190022868286809,0.0172413793103448,"SP10","S. Precipitation"
"Myotis mystacinus","female",34,-0.127,0.161,-0.112,106,-0.112471865909179,0.00970873786407767,"SP11","S. Precipitation"
"Myotis nattereri","female",39,0.15,-0.481,0.328,94,0.340585494756615,0.010989010989011,"SP12","S. Precipitation"
"Pipistrellus kuhlii","female",33.8,-0.131,-0.272,0.166,112,0.167550482275845,0.00917431192660551,"SP13","S. Precipitation"
"Pipistrellus pipistrellus","female",30.5,-0.585,-0.011,0.243,254,0.247959919036631,0.00398406374501992,"SP14","S. Precipitation"
"Plecotus auritus","female",39,0.19,-0.324,-0.015,123,-0.0150011251518994,0.00833333333333333,"SP15","S. Precipitation"
"Plecotus austriacus","female",40,0.108,0.1,-0.234,101,-0.238417017362371,0.0102040816326531,"SP16","S. Precipitation"
"Rhinolophus euryale","female",46,-0.42,-0.292,0.429,45,0.458670484136929,0.0238095238095238,"SP17","S. Precipitation"
"Rhinolophus ferrumequinum","female",58.4,-0.069,-0.341,0.174,68,0.175788613433532,0.0153846153846154,"SP18","S. Precipitation"
"Rhinolophus hipposideros","female",37,0.329,-0.305,0.167,33,0.168578995059857,0.0333333333333333,"SP19","S. Precipitation"
