"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","female",39,0.047,-0.232,0.181,96,0.0470346536081674,0.010752688172043,"SP1","Tmax"
"Eptesicus isabellinus","female",49,-0.256,-0.137,0.213,21,-0.261823156097526,0.0555555555555556,"SP2","Tmax"
"Eptesicus nilssonii","female",40.5,0.306,0.274,-0.223,9,0.316126174664786,0.166666666666667,"SP3","Tmax"
"Eptesicus serotinus","female",53,-0.147,-0.103,0.104,56,-0.148072784818846,0.0188679245283019,"SP4","Tmax"
"Hypsugo savii","female",34.5,0.009,-0.135,-0.012,61,0.00900024301181048,0.0172413793103448,"SP5","Tmax"
"Myotis alcathoe","female",32,-0.317,-0.067,0.103,17,-0.328308421086246,0.0714285714285714,"SP6","Tmax"
"Myotis bechsteinii","female",43,-0.159,-0.436,0.513,72,-0.160360591683402,0.0144927536231884,"SP7","Tmax"
"Myotis crypticus","female",39.3,0.012,-0.139,0.204,27,0.0120005760497715,0.0416666666666667,"SP8","Tmax"
"Myotis emarginatus","female",40.4,-0.041,0.037,-0.081,94,-0.0410229968657653,0.010989010989011,"SP9","Tmax"
"Myotis escalerai","female",39.5,0.119,-0.035,-0.019,61,0.119566541187873,0.0172413793103448,"SP10","Tmax"
"Myotis mystacinus","female",34,-0.127,0.161,-0.112,106,-0.127689479100087,0.00970873786407767,"SP11","Tmax"
"Myotis nattereri","female",39,0.15,-0.481,0.328,94,0.151140435936467,0.010989010989011,"SP12","Tmax"
"Pipistrellus kuhlii","female",33.8,-0.131,-0.272,0.166,112,-0.131757175425364,0.00917431192660551,"SP13","Tmax"
"Pipistrellus pipistrellus","female",30.5,-0.585,-0.011,0.243,254,-0.670030583040341,0.00398406374501992,"SP14","Tmax"
"Plecotus auritus","female",39,0.19,-0.324,-0.015,123,0.192337169219545,0.00833333333333333,"SP15","Tmax"
"Plecotus austriacus","female",40,0.108,0.1,-0.234,101,0.10842286736361,0.0102040816326531,"SP16","Tmax"
"Rhinolophus euryale","female",46,-0.42,-0.292,0.429,45,-0.447692023527421,0.0238095238095238,"SP17","Tmax"
"Rhinolophus ferrumequinum","female",58.4,-0.069,-0.341,0.174,68,-0.0691098168739891,0.0153846153846154,"SP18","Tmax"
"Rhinolophus hipposideros","female",37,0.329,-0.305,0.167,33,0.341706460870782,0.0333333333333333,"SP19","Tmax"
