"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","female",39,0.047,-0.232,0.181,96,-0.236302205472896,0.010752688172043,"SP1","Tmin"
"Eptesicus isabellinus","female",49,-0.256,-0.137,0.213,21,-0.137866901333554,0.0555555555555556,"SP2","Tmin"
"Eptesicus nilssonii","female",40.5,0.306,0.274,-0.223,9,0.281183410653656,0.166666666666667,"SP3","Tmin"
"Eptesicus serotinus","female",53,-0.147,-0.103,0.104,56,-0.103366578597353,0.0188679245283019,"SP4","Tmin"
"Hypsugo savii","female",34.5,0.009,-0.135,-0.012,61,-0.135829211491812,0.0172413793103448,"SP5","Tmin"
"Myotis alcathoe","female",32,-0.317,-0.067,0.103,17,-0.0671005252272048,0.0714285714285714,"SP6","Tmin"
"Myotis bechsteinii","female",43,-0.159,-0.436,0.513,72,-0.467281249055055,0.0144927536231884,"SP7","Tmin"
"Myotis crypticus","female",39.3,0.012,-0.139,0.204,27,-0.139905729509726,0.0416666666666667,"SP8","Tmin"
"Myotis emarginatus","female",40.4,-0.041,0.037,-0.081,94,0.0370168982157009,0.010989010989011,"SP9","Tmin"
"Myotis escalerai","female",39.5,0.119,-0.035,-0.019,61,-0.0350143021802418,0.0172413793103448,"SP10","Tmin"
"Myotis mystacinus","female",34,-0.127,0.161,-0.112,106,0.162413137615343,0.00970873786407767,"SP11","Tmin"
"Myotis nattereri","female",39,0.15,-0.481,0.328,94,-0.524284465550955,0.010989010989011,"SP12","Tmin"
"Pipistrellus kuhlii","female",33.8,-0.131,-0.272,0.166,112,-0.279022347851691,0.00917431192660551,"SP13","Tmin"
"Pipistrellus pipistrellus","female",30.5,-0.585,-0.011,0.243,254,-0.0110004436988797,0.00398406374501992,"SP14","Tmin"
"Plecotus auritus","female",39,0.19,-0.324,-0.015,123,-0.336109830226995,0.00833333333333333,"SP15","Tmin"
"Plecotus austriacus","female",40,0.108,0.1,-0.234,101,0.100335347731076,0.0102040816326531,"SP16","Tmin"
"Rhinolophus euryale","female",46,-0.42,-0.292,0.429,45,-0.300751295324414,0.0238095238095238,"SP17","Tmin"
"Rhinolophus ferrumequinum","female",58.4,-0.069,-0.341,0.174,68,-0.355223674389586,0.0153846153846154,"SP18","Tmin"
"Rhinolophus hipposideros","female",37,0.329,-0.305,0.167,33,-0.315023237096001,0.0333333333333333,"SP19","Tmin"
