"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","male",39,0.004,-0.282,0.137,109,0.137866901333554,0.00943396226415094,"SP1","S. Precipitation"
"Eptesicus isabellinus","male",49,-0.497,0.062,0.104,39,0.104377406931055,0.0277777777777778,"SP2","S. Precipitation"
"Eptesicus nilssonii","male",40.5,0.386,0.619,-0.499,9,-0.547973698508866,0.166666666666667,"SP3","S. Precipitation"
"Eptesicus serotinus","male",53,0.134,0.002,-0.059,112,-0.0590686030080134,0.00917431192660551,"SP4","S. Precipitation"
"Hypsugo savii","male",34.5,-0.028,-0.038,0.024,101,0.0240046095931803,0.0102040816326531,"SP5","S. Precipitation"
"Myotis alcathoe","male",32,-0.627,-0.413,0.248,23,0.253280612489767,0.05,"SP6","S. Precipitation"
"Myotis bechsteinii","male",43,-0.227,-0.683,0.573,99,0.651977944914827,0.0104166666666667,"SP7","S. Precipitation"
"Myotis crypticus","male",39.3,-0.125,-0.277,0.294,46,0.302939118783802,0.0232558139534884,"SP8","S. Precipitation"
"Myotis emarginatus","male",40.4,-0.001,-0.231,0.119,109,0.119566541187873,0.00943396226415094,"SP9","S. Precipitation"
"Myotis escalerai","male",39.5,-0.001,-0.415,0.214,71,0.217359589595119,0.0147058823529412,"SP10","S. Precipitation"
"Myotis mystacinus","male",34,-0.061,0.016,-0.006,133,-0.00600007200155524,0.00769230769230769,"SP11","S. Precipitation"
"Myotis nattereri","male",39,0.038,-0.485,0.398,128,0.421270238742467,0.008,"SP12","S. Precipitation"
"Pipistrellus kuhlii","male",33.8,-0.081,-0.196,0.134,85,0.134810787862631,0.0121951219512195,"SP13","S. Precipitation"
"Pipistrellus pipistrellus","male",30.5,-0.547,0.067,0.212,287,0.21526453838569,0.00352112676056338,"SP14","S. Precipitation"
"Plecotus auritus","male",39,0.023,-0.452,0.077,178,0.0771527213267682,0.00571428571428571,"SP15","S. Precipitation"
"Plecotus austriacus","male",40,-0.093,-0.004,-0.128,134,-0.128706004074512,0.00763358778625954,"SP16","S. Precipitation"
"Rhinolophus euryale","male",46,0.062,-0.105,0.192,51,0.1944128945521,0.0208333333333333,"SP17","S. Precipitation"
"Rhinolophus ferrumequinum","male",58.4,0.001,-0.357,0.099,79,0.0993253483976417,0.0131578947368421,"SP18","S. Precipitation"
"Rhinolophus hipposideros","male",37,-0.391,-0.569,0.122,59,0.122610746223762,0.0178571428571429,"SP19","S. Precipitation"
