"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","male",39,0.004,-0.282,0.137,109,-0.289853534216196,0.00943396226415094,"SP1","Tmin"
"Eptesicus isabellinus","male",49,-0.497,0.062,0.104,39,0.0620796263978297,0.0277777777777778,"SP2","Tmin"
"Eptesicus nilssonii","male",40.5,0.386,0.619,-0.499,9,0.723382289275467,0.166666666666667,"SP3","Tmin"
"Eptesicus serotinus","male",53,0.134,0.002,-0.059,112,0.00200000266667307,0.00917431192660551,"SP4","Tmin"
"Hypsugo savii","male",34.5,-0.028,-0.038,0.024,101,-0.0380183065300637,0.0102040816326531,"SP5","Tmin"
"Myotis alcathoe","male",32,-0.627,-0.413,0.248,23,-0.439222781428215,0.05,"SP6","Tmin"
"Myotis bechsteinii","male",43,-0.227,-0.683,0.573,99,-0.834715710156763,0.0104166666666667,"SP7","Tmin"
"Myotis crypticus","male",39.3,-0.125,-0.277,0.294,46,-0.284429816936887,0.0232558139534884,"SP8","Tmin"
"Myotis emarginatus","male",40.4,-0.001,-0.231,0.119,109,-0.235245578339405,0.00943396226415094,"SP9","Tmin"
"Myotis escalerai","male",39.5,-0.001,-0.415,0.214,71,-0.441636481422741,0.0147058823529412,"SP10","Tmin"
"Myotis mystacinus","male",34,-0.061,0.016,-0.006,133,0.0160013655430869,0.00769230769230769,"SP11","Tmin"
"Myotis nattereri","male",39,0.038,-0.485,0.398,128,-0.529501575286532,0.008,"SP12","Tmin"
"Pipistrellus kuhlii","male",33.8,-0.081,-0.196,0.134,85,-0.198569332665805,0.0121951219512195,"SP13","Tmin"
"Pipistrellus pipistrellus","male",30.5,-0.547,0.067,0.212,287,0.0671005252272048,0.00352112676056338,"SP14","Tmin"
"Plecotus auritus","male",39,0.023,-0.452,0.077,178,-0.487210954218363,0.00571428571428571,"SP15","Tmin"
"Plecotus austriacus","male",40,-0.093,-0.004,-0.128,134,-0.00400002133353814,0.00763358778625954,"SP16","Tmin"
"Rhinolophus euryale","male",46,0.062,-0.105,0.192,51,-0.105388447838499,0.0208333333333333,"SP17","Tmin"
"Rhinolophus ferrumequinum","male",58.4,0.001,-0.357,0.099,79,-0.373443467798625,0.0131578947368421,"SP18","Tmin"
"Rhinolophus hipposideros","male",37,-0.391,-0.569,0.122,59,-0.646042831314642,0.0178571428571429,"SP19","Tmin"
