"","x"
"1","Barbastella barbastellus"
"2","Eptesicus isabellinus"
"3","Eptesicus nilssonii"
"4","Eptesicus serotinus"
"5","Hypsugo savii"
"6","Myotis alcathoe"
"7","Myotis bechsteinii"
"8","Myotis crypticus"
"9","Myotis emarginatus"
"10","Myotis escalerai"
"11","Myotis mystacinus"
"12","Myotis nattereri"
"13","Pipistrellus kuhlii"
"14","Pipistrellus pipistrellus"
"15","Plecotus auritus"
"16","Plecotus austriacus"
"17","Rhinolophus euryale"
"18","Rhinolophus ferrumequinum"
"19","Rhinolophus hipposideros"
