"Bat_species","Sex","fal","r_Tmax","r_Tmin","r_SP","n"
"Barbastella barbastellus","female",39,0.047,-0.232,0.181,96
"Barbastella barbastellus","male",39,0.004,-0.282,0.137,109
"Eptesicus isabellinus","female",49,-0.256,-0.137,0.213,21
"Eptesicus isabellinus","male",49,-0.497,0.062,0.104,39
"Eptesicus nilssonii","female",40.5,0.306,0.274,-0.223,9
"Eptesicus nilssonii","male",40.5,0.386,0.619,-0.499,9
"Eptesicus serotinus","female",53,-0.147,-0.103,0.104,56
"Eptesicus serotinus","male",53,0.134,0.002,-0.059,112
"Hypsugo savii","female",34.5,0.009,-0.135,-0.012,61
"Hypsugo savii","male",34.5,-0.028,-0.038,0.024,101
"Myotis alcathoe","female",32,-0.317,-0.067,0.103,17
"Myotis alcathoe","male",32,-0.627,-0.413,0.248,23
"Myotis bechsteinii","female",43,-0.159,-0.436,0.513,72
"Myotis bechsteinii","male",43,-0.227,-0.683,0.573,99
"Myotis crypticus","female",39.3,0.012,-0.139,0.204,27
"Myotis crypticus","male",39.3,-0.125,-0.277,0.294,46
"Myotis emarginatus","female",40.4,-0.041,0.037,-0.081,94
"Myotis emarginatus","male",40.4,-0.001,-0.231,0.119,109
"Myotis escalerai","female",39.5,0.119,-0.035,-0.019,61
"Myotis escalerai","male",39.5,-0.001,-0.415,0.214,71
"Myotis mystacinus","female",34,-0.127,0.161,-0.112,106
"Myotis mystacinus","male",34,-0.061,0.016,-0.006,133
"Myotis nattereri","female",39,0.15,-0.481,0.328,94
"Myotis nattereri","male",39,0.038,-0.485,0.398,128
"Pipistrellus kuhlii","female",33.8,-0.131,-0.272,0.166,112
"Pipistrellus kuhlii","male",33.8,-0.081,-0.196,0.134,85
"Pipistrellus pipistrellus","female",30.5,-0.585,-0.011,0.243,254
"Pipistrellus pipistrellus","male",30.5,-0.547,0.067,0.212,287
"Plecotus auritus","female",39,0.19,-0.324,-0.015,123
"Plecotus auritus","male",39,0.023,-0.452,0.077,178
"Plecotus austriacus","female",40,0.108,0.1,-0.234,101
"Plecotus austriacus","male",40,-0.093,-0.004,-0.128,134
"Rhinolophus euryale","female",46,-0.42,-0.292,0.429,45
"Rhinolophus euryale","male",46,0.062,-0.105,0.192,51
"Rhinolophus ferrumequinum","female",58.4,-0.069,-0.341,0.174,68
"Rhinolophus ferrumequinum","male",58.4,0.001,-0.357,0.099,79
"Rhinolophus hipposideros","female",37,0.329,-0.305,0.167,33
"Rhinolophus hipposideros","male",37,-0.391,-0.569,0.122,59
