"Bat_species","cell_id","fal","r","n","yi_s","vi_s"
"Barbastella barbastellus",50588,39,-0.346,12,-0.360892579373737,0.111111111111111
"Barbastella barbastellus",87728,39,0.145,6,0.14602922352579,0.333333333333333
"Eptesicus isabellinus",40302,49,0.595,24,0.685370974056203,0.0476190476190476
"Eptesicus isabellinus",40306,49,0.316,14,0.327197097131356,0.0909090909090909
"Eptesicus isabellinus",40760,49,-0.021,16,-0.0210030878170776,0.0769230769230769
"Hypsugo savii",50588,34.5,-0.866,6,-1.31685629072819,0.333333333333333
"Myotis bechsteinii",35967,43,0.222,6,0.225758807776575,0.333333333333333
"Myotis bechsteinii",86852,43,-0.389,7,-0.410621191791374,0.25
"Myotis bechsteinii",88637,43,-0.721,6,-0.909724507195087,0.333333333333333
"Myotis bechsteinii",97252,43,0.361,14,0.378035274136966,0.0909090909090909
"Myotis crypticus",50588,39.3,0.121,10,0.121595762693491,0.142857142857143
"Myotis emarginatus",71720,40.4,-0.272,18,-0.279022347851691,0.0666666666666667
"Myotis mystacinus",50588,34,-0.219,10,-0.222605489820793,0.142857142857143
"Myotis mystacinus",51103,34,-0.153,9,-0.154210912808502,0.166666666666667
"Myotis mystacinus",58169,34,0.118,7,0.118552298854127,0.25
"Myotis mystacinus",86852,34,0.283,6,0.290940262008008,0.333333333333333
"Myotis nattereri",86852,39,0.639,7,0.756481810205474,0.25
"Pipistrellus kuhlii",30119,33.8,0.601,8,0.694711148053426,0.2
"Pipistrellus kuhlii",30492,33.8,-0.556,6,-0.627024571153056,0.333333333333333
"Pipistrellus kuhlii",30859,33.8,0.149,10,0.150117574637691,0.142857142857143
"Pipistrellus kuhlii",35609,33.8,0.038,6,0.0380183065300637,0.333333333333333
"Pipistrellus kuhlii",50588,33.8,0.2,6,0.202732554054082,0.333333333333333
"Pipistrellus pipistrellus",50588,30.5,-0.813,7,-1.13581479695013,0.25
"Plecotus auritus",50588,39,0.2,11,0.202732554054082,0.125
"Plecotus auritus",86852,39,0.49,9,0.536060336610567,0.166666666666667
"Plecotus auritus",87728,39,0.201,7,0.203774438156854,0.25
"Plecotus auritus",88178,39,0.412,7,0.43801773507728,0.25
"Plecotus auritus",88637,39,-0.665,6,-0.801724935294739,0.333333333333333
"Rhinolophus mehelyi",42125,51,-0.036,7,-0.0360155641044414,0.25
